True_Temperature,Predicted_Temperature,Error
14.305,15.566401424407958,1.261401424407959
14.214999999999998,15.452027575174967,1.2370275751749675
14.18,15.6042333984375,1.4242333984375
14.005,15.483186047871909,1.4781860478719075
13.83,15.392286732991536,1.5622867329915364
14.094999999999999,14.998435370127359,0.9034353701273601
14.988333333333332,16.33208769480387,1.3437543614705403
15.581666666666669,16.223455810546877,0.6417891438802084
16.568333333333335,17.192232151031497,0.623898817698161
17.026666666666667,18.37021511077881,1.343548444112142
17.316666666666666,18.40195920944214,1.0852925427754723
17.808333333333334,19.432585372924805,1.6242520395914715
18.668333333333333,20.997559458414713,2.32922612508138
19.12333333333333,20.317793471018472,1.19446013768514
18.348333333333333,20.010461794535317,1.6621284612019855
17.44,19.698522720336914,2.2585227203369143
15.88,18.479693298339846,2.5996932983398438
